1,88,55,100
2,50,45,59
3,73,90,94
4,58,53,49
5,79,59,N
6,44,64,43
7,66,72,83
8,49,87,71
9,60,74,42
10,45,55,93
11,76,55,56
12,52,61,45
13,51,86,N
14,76,44,81
15,64,68,50
16,66,48,85
17,51,85,56
18,88,60,80
19,45,42,60
20,48,68,56
21,72,46,94
22,45,97,78
23,46,65,41
24,79,64,42
25,50,93,84
26,60,89,75
27,84,98,76
28,50,47,54
29,92,94,53
30,65,96,72
31,40,55,94
32,65,52,72
33,48,66,N
34,52,85,75
35,43,67,48
36,50,76,81
37,58,68,N
38,79,87,86
39,85,53,86
40,46,96,57
41,44,58,72
42,97,61,62
43,99,40,N
44,74,96,98
45,91,88,80
46,76,97,57
47,63,97,73
48,69,43,49
49,46,81,48
50,97,77,63
51,85,74,94
52,74,40,61
53,69,57,46
54,72,69,78
55,42,40,52
56,70,92,58
57,41,99,100
58,50,64,77
59,73,61,N
60,90,55,97
61,48,97,55
62,50,72,100
63,89,77,68
64,98,86,69
65,63,91,94
66,82,63,65
67,47,46,62
68,42,78,63
69,77,45,88
70,51,85,N
71,64,65,86
72,57,79,92
73,75,52,51
74,47,46,90
75,53,60,54
76,56,94,99
77,73,99,N
78,82,50,42
79,74,62,45
80,82,96,49
81,73,71,48
